word,tf-idf,book
War,4.080628291663541e-05,war_peace.txt
IN,2.4483769749981247e-05,war_peace.txt
OF,2.9147344940453866e-05,war_peace.txt
born,1.28248317737997e-05,war_peace.txt
August,4.546985810710803e-05,war_peace.txt
family,0.00016555691926177797,war_peace.txt
estate,6.995362785708928e-05,war_peace.txt
ya,4.080628291663541e-05,war_peace.txt
province,2.215198215474494e-05,war_peace.txt
er,0.0002075290959760315,war_peace.txt
died,6.645594646423481e-05,war_peace.txt
father,0.00044537143069013505,war_peace.txt
six,6.762184026185297e-05,war_peace.txt
years,0.0001410731495117967,war_peace.txt
later,0.00015040029989274193,war_peace.txt
care,6.41241588689985e-05,war_peace.txt
passed,0.00022385160914268568,war_peace.txt
early,5.596290228567142e-05,war_peace.txt
French,0.0010691246124158477,war_peace.txt
entered,0.0002343446533212491,war_peace.txt
lit,8.74420348213616e-05,war_peace.txt
tle,5.013343329758065e-05,war_peace.txt
cause,0.00023317875952363093,war_peace.txt
ill,9.793507899992499e-05,war_peace.txt
health,7.22854154523256e-05,war_peace.txt
domestic,2.331787595236309e-05,war_peace.txt
circum,1.28248317737997e-05,war_peace.txt
however,7.345130924994374e-05,war_peace.txt
done,0.00034743635169021006,war_peace.txt
deal,4.313807051187172e-05,war_peace.txt
reading,9.210561001183422e-05,war_peace.txt
English,3.264502633330833e-05,war_peace.txt
Russian,0.0005106614833567518,war_peace.txt
author,1.6322513166654167e-05,war_peace.txt
greatest,4.663575190472618e-05,war_peace.txt
upon,0.00011192580457134284,war_peace.txt
read,0.00015622976888083273,war_peace.txt
complete,4.546985810710803e-05,war_peace.txt
works,1.1658937976181545e-05,war_peace.txt
wore,5.363111469043511e-05,war_peace.txt
neck,8.161256583327083e-05,war_peace.txt
leaving,8.97738224165979e-05,war_peace.txt
Tolstoy,1.28248317737997e-05,war_peace.txt
returned,0.0001492344060951238,war_peace.txt
perhaps,8.74420348213616e-05,war_peace.txt
enthusiasm,2.9147344940453866e-05,war_peace.txt
pre,6.41241588689985e-05,war_peace.txt
condition,7.69489906427982e-05,war_peace.txt
serfs,9.443739760707052e-05,war_peace.txt
attempt,1.748840696427232e-05,war_peace.txt
social,3.3810920130926486e-05,war_peace.txt
proved,4.1972176714253566e-05,war_peace.txt
months,3.9640389119017254e-05,war_peace.txt
Moscow,0.0008067985079517631,war_peace.txt
St,5.013343329758065e-05,war_peace.txt
Petersburg,0.00026582378585693925,war_peace.txt
gave,0.00035792939586877347,war_peace.txt
life,0.0007135270041423106,war_peace.txt
characteristic,1.748840696427232e-05,war_peace.txt
class,2.798145114283571e-05,war_peace.txt
determined,1.515661936903601e-05,war_peace.txt
escape,4.1972176714253566e-05,war_peace.txt
debts,2.331787595236309e-05,war_peace.txt
anything,0.0003031323873807202,war_peace.txt
else,0.00018770890141652289,war_peace.txt
gentleman,4.780164570234434e-05,war_peace.txt
While,6.878773405947112e-05,war_peace.txt
preparing,3.84744953213991e-05,war_peace.txt
cadet,2.4483769749981247e-05,war_peace.txt
wrote,0.00011425759216657916,war_peace.txt
celebrated,1.1658937976181545e-05,war_peace.txt
happiness,0.0001317459991308515,war_peace.txt
being,0.0004990025453805701,war_peace.txt
Na,0.00013407778672608778,war_peace.txt
ture,2.331787595236309e-05,war_peace.txt
seeing,0.00016672281305939613,war_peace.txt
al,0.0001317459991308515,war_peace.txt
Cossacks,8.627614102374344e-05,war_peace.txt
intention,3.9640389119017254e-05,war_peace.txt
showing,5.12993270951988e-05,war_peace.txt
culture,1.748840696427232e-05,war_peace.txt
enemy,0.00029147344940453864,war_peace.txt
ness,0.00010842812317848838,war_peace.txt
continuing,1.3990725571417855e-05,war_peace.txt
army,0.0007729875878208365,war_peace.txt
gradually,2.215198215474494e-05,war_peace.txt
realize,3.264502633330833e-05,war_peace.txt
military,0.00010959401697610654,war_peace.txt
sooner,2.56496635475994e-05,war_peace.txt
myself,0.00015739566267845088,war_peace.txt
entirely,3.264502633330833e-05,war_peace.txt
successful,1.1658937976181545e-05,war_peace.txt
Nicholas,0.0007275177297137285,war_peace.txt
issued,3.031323873807202e-05,war_peace.txt
special,8.161256583327083e-05,war_peace.txt
orders,0.00022268571534506752,war_peace.txt
removed,3.730860152378095e-05,war_peace.txt
post,7.811488444041636e-05,war_peace.txt
danger,8.277845963088899e-05,war_peace.txt
